BASE_DTTM,REG_DTTM,SUDN_ST_ID,SUDN_LAST_VER,SUDN_SERV_ST_DTTM,SUDN_ST_DTTM,SUDN_ED_DTTM,SUDN_ST_CD,SUDN_ST_TYPE_CD,SUDN_ST_CONT,SUDN_ST_ROAD_KIND,SUDN_LANE_NO,VEHICLE_KIND,OCCUR_LINK_ID,OCCUR_X_POS,OCCUR_Y_POS,SUDN_ST_ROAD,SUDN_ST_SECTION,SUB_LINK_CNT,MID,KS_SUB_LINK_ID
202503260900,20250326090100,2025032401846,4,202503241906,202503241906,202503262336,E,2,동남로 양방향 한영중고교앞교차로↔생태공원교차로 싱크홀 발생으로 전면통제,1,A0,0,1240012400,127.154972,37.544278,동남로,한영중고교앞교차로↔생태공원교차로,3,110,"1240012300,1240015300,1240015400"
202503260900,20250326090100,L93152099775,255,202503241831,202503241831,202503260900,B,0,<경찰청제공>[통제] 동남로 한영중고교앞교차로 에서 생태공원앞 방향 양방향 전체차로 공사 [도로침하/전면통제]동남로 대명초교입구사거리 교차로 도로침하로 한영중고교앞교차로↔ 생태공원 전면통제(대명초교입구교차로 동↔서간도 통제)  서울청,1,00,0,1240015300,127.156111,37.549,동남로,동남로,3,267,"1240012300,1240012400,1240015400"
202503260905,20250326090600,2025032401846,4,202503241906,202503241906,202503262336,E,2,동남로 양방향 한영중고교앞교차로↔생태공원교차로 싱크홀 발생으로 전면통제,1,A0,0,1240012400,127.154972,37.544278,동남로,한영중고교앞교차로↔생태공원교차로,3,110,"1240012300,1240015300,1240015400"
202503260905,20250326090600,L93152099775,195,202503241831,202503241831,202503262359,B,0,<경찰청제공>[통제] 동남로 한영중고교앞교차로 에서 생태공원앞 방향 양방향 전체차로 공사 [도로침하/전면통제]동남로 대명초교입구사거리 교차로 도로침하로 한영중고교앞교차로↔ 생태공원 전면통제(대명초교입구교차로 동↔서간도 통제)  서울청,1,00,0,1240015300,127.156111,37.549,동남로,동남로,3,267,"1240012300,1240012400,1240015400"
202503260910,20250326091100,2025032401846,4,202503241906,202503241906,202503262336,E,2,동남로 양방향 한영중고교앞교차로↔생태공원교차로 싱크홀 발생으로 전면통제,1,A0,0,1240012400,127.154972,37.544278,동남로,한영중고교앞교차로↔생태공원교차로,3,110,"1240012300,1240015300,1240015400"
202503260910,20250326091100,L93152099775,196,202503241831,202503241831,202503262359,B,0,<경찰청제공>[통제] 동남로 한영중고교앞교차로 에서 생태공원앞 방향 양방향 전체차로 공사 [도로침하/전면통제]동남로 대명초교입구사거리 교차로 도로침하로 한영중고교앞교차로↔ 생태공원 전면통제(대명초교입구교차로 동↔서간도 통제)  서울청,1,00,0,1240015300,127.156111,37.549,동남로,동남로,3,267,"1240012300,1240012400,1240015400"
202503260915,20250326091600,2025032401846,4,202503241906,202503241906,202503262336,E,2,동남로 양방향 한영중고교앞교차로↔생태공원교차로 싱크홀 발생으로 전면통제,1,A0,0,1240012400,127.154972,37.544278,동남로,한영중고교앞교차로↔생태공원교차로,3,110,"1240012300,1240015300,1240015400"
202503260915,20250326091600,L93152099775,197,202503241831,202503241831,202503262359,B,0,<경찰청제공>[통제] 동남로 한영중고교앞교차로 에서 생태공원앞 방향 양방향 전체차로 공사 [도로침하/전면통제]동남로 대명초교입구사거리 교차로 도로침하로 한영중고교앞교차로↔ 생태공원 전면통제(대명초교입구교차로 동↔서간도 통제)  서울청,1,00,0,1240015300,127.156111,37.549,동남로,동남로,3,267,"1240012300,1240012400,1240015400"
202503260920,20250326092100,2025032401846,4,202503241906,202503241906,202503262336,E,2,동남로 양방향 한영중고교앞교차로↔생태공원교차로 싱크홀 발생으로 전면통제,1,A0,0,1240012400,127.154972,37.544278,동남로,한영중고교앞교차로↔생태공원교차로,3,110,"1240012300,1240015300,1240015400"
202503260920,20250326092100,L93152099775,198,202503241831,202503241831,202503262359,B,0,<경찰청제공>[통제] 동남로 한영중고교앞교차로 에서 생태공원앞 방향 양방향 전체차로 공사 [도로침하/전면통제]동남로 대명초교입구사거리 교차로 도로침하로 한영중고교앞교차로↔ 생태공원 전면통제(대명초교입구교차로 동↔서간도 통제)  서울청,1,00,0,1240015300,127.156111,37.549,동남로,동남로,3,267,"1240012300,1240012400,1240015400"
