BASE_DTTM,REG_DTTM,SUDN_ST_ID,SUDN_LAST_VER,SUDN_SERV_ST_DTTM,SUDN_ST_DTTM,SUDN_ED_DTTM,SUDN_ST_CD,SUDN_ST_TYPE_CD,SUDN_ST_CONT,SUDN_ST_ROAD_KIND,SUDN_LANE_NO,VEHICLE_KIND,OCCUR_LINK_ID,OCCUR_X_POS,OCCUR_Y_POS,SUDN_ST_ROAD,SUDN_ST_SECTION,SUB_LINK_CNT,MID,KS_SUB_LINK_ID
202504130825,20250413082600,M250413000110,17,202504130705,202504130705,202504130838,D,99,"<국토부제공>""강풍""주의",2,02,0,3350039700,126.903778,34.706972,남해선(영암-순천),남해선(영암-순천),0,188,
202504130825,20250413082600,TBS-03778448,2,202410081352,202410081352,202504302359,B,99,"<TBS제공>[영등포고가차도 철거] '영등포로터리 구조개선공사'와 관련하여 경인로 서울교에서 영등포역 구간에 위치한 영등포고가차도 철거작업이 오는 10월 25일(금) 밤 11시부터 진행되어 고가차도 양방면 진입이 전면통제됩니다. 공사기간 중 신길역에서 영등포로터리를 경유하는 영등포역 직진 방향과 신길지하차도 좌회전 방향은 통행이 불가하고, 경인로, 영등포로, 신길로 등 교통 혼잡이 예상되니 미리 다른도로로 우회하시기 바랍니다. ＊공사기간(고가철거시행) : 2024년 10월 25일(금)~2025년 4월 말까지(예정)",1,00,0,1180073400,126.913417,37.518972,경인로,경인로,1,22,1180073500
202504130825,20250413082600,L93106252600,145,202107290000,202107290000,202511292359,B,0,<경찰청제공>[공사] 연결 체계 에서 개선공사 방향 1차로 도로공사 장소: 올림픽대로 잠실대교 남단IC본선및 연결로/통제방법: 부분통제 서울청,1,00,0,1230005001,127.095111,37.519583,연결,연결,0,222,
202504130825,20250413082600,L93152088739,19,202503250000,202503250000,202504302359,B,0,<경찰청제공>[공사] 일반국도17호선 읍내삼거리 에서 신대과대교 방향 3차로 도로공사 지체.정체 우려 대전도시철도2호선 1공구 건설공사,1,00,0,1870002501,127.425611,36.383806,일반국도17호선,일반국도17호선,1,239,1870002502
202504130825,20250413082600,M250413000092,255,202504130619,202504130619,202504130817,D,14,"<국토부제공>""안개""주의",2,02,0,3100048800,127.311972,35.437861,순천완주선,순천완주선,0,310,
202504130825,20250413082600,2025041000955,2,202504130521,202504130821,202504131044,E,2,서울YMCA마라톤대회/무교로 청계천방향 개풍교차로→무교동사거리 전면통제 04/13 08시21분~10시44분,1,A0,0,1010015400,126.979056,37.566028,무교로,개풍교차로→무교동사거리,2,245,"1010017602,1010017601"
202504130825,20250413082600,2025041200080,2,202504120710,202504120710,202505300740,E,2,광명 양달로 양방향 민트스푼↔한우리교회 붕괴위험으로 전면통제,1,A0,0,2130388300,126.880139,37.412917,양달로,민트스푼↔한우리교회,1,183,2130388400
202504130825,20250413082600,2021052400850,232,202504122100,202504130000,202504132359,E,2,세종 다솜로 양방향 국무총리비서실↔물별수변공원 호수공원 차없는거리로 전면통제 (매주 금~월 19시~07시),1,A0,0,4130194300,127.269389,36.497333,다솜로,국무총리비서실↔물별수변공원,9,6,"4130194400,4130205900,4130205500,4130205600,4130206000,4130216600,4130217400,4130217300,4130216700"
202504130825,20250413082600,2022011000502,115,202504130800,202504131100,202504131900,E,2,의왕 부곡도깨비시장(부곡시장길12~32) 차없는거리 전면통제 01/10~25/12/31 11시~19시(매일),1,A0,0,2260058000,126.950861,37.319528,부곡시장길,부곡도깨비시장(부곡시장길12~32),1,25,2260057900
202504130825,20250413082600,2024112701357,8,202411271316,202411271316,202504141000,E,2,미시령옛길 양방향 미시령옛길 일원 동절기 사고예방을 위한 전면통제,1,A0,0,2660000702,128.485583,38.209917,미시령옛길,미시령옛길 일원,5,319,"2660000801,2650024100,2650024300,2650024400,2650024200"
202504130825,20250413082600,L93152468153,12,202504130721,202504130721,202504131051,C,0,<경찰청제공>[통제] 신안길 덕신농장 에서 가천삼거리 방향 1차로 주의운전,1,00,0,1960246200,129.10775,35.525944,신안길,신안길,0,142,
202504130825,20250413082600,2025041000986,2,202504130521,202504130821,202504131044,E,2,서울YMCA마라톤대회/내부순환도로 성동방향 마장IC진출로 전면통제 04/13 08시21분~10시44분,1,A0,0,1050000100,127.0345,37.57975,내부순환도로,마장IC진출로,0,261,
202504130825,20250413082600,2025041000944,2,202504130505,202504130805,202504130909,E,2,서울YMCA마라톤대회/남대문로 진행방향 한은→숭례문 전면통제 04/13 08시05분~09시09분,1,A0,0,1010005101,126.981167,37.561972,남대문로,한은→숭례문,1,148,1010005102
202504130825,20250413082600,M250413000119,2,202504130820,202504130820,202504130838,D,99,"<국토부제공>""강풍""주의",2,02,0,3580207001,128.282583,36.375167,청주영덕선,청주영덕선,0,189,
202504130825,20250413082600,L93152421290,6,202504130753,202504130753,202504130842,C,0,<경찰청제공>[행사] 청와대로 정부서울청사교차로 에서 동십자각 방향 진행방향 전체차로 스포츠 행사 [마라톤/전면통제] 2025 YMCA 마라톤/ 장소: 청와대로 정부서울청사교차로→청와대→동십자각(반대정상소통)  서울청,1,00,0,1000015201,126.974278,37.575806,청와대로,청와대로,5,165,"1000015203,1000017300,1000016500,1000014302,1000014301"
202504130825,20250413082600,L93152467856,14,202504130705,202504130705,202504131805,B,0,"<경찰청제공>[공사] 수성로 정자사거리 에서 스타필드 방향 1,2차로 도로공사 주의운전",1,00,0,2007018700,127.002889,37.290444,수성로,수성로,0,325,
202504130825,20250413082600,2024022302013,3,202402252100,202402260000,202512202359,E,2,산내로 양방향 구도교 재가설공사로 전면통제 02/26 00시~2025/12/20(24시간),1,A0,0,1830000403,127.472806,36.272972,산내로,구도교,7,59,"1830002012,1830002013,1830057600,1830000303,1830001913,1830057500,1830001912"
202504130825,20250413082600,2025040800525,3,202504130430,202504130730,202504131000,E,2,영남일보국제하프마라톤대회/유니버시아드로 양방향 경기장네거리↔범안삼거리 전면통제 04/13 07시30분~10시,1,A0,0,1550001904,128.678278,35.833611,유니버시아드로,경기장네거리↔범안삼거리,3,32,"1550001903,1550002004,1550002003"
202504130825,20250413082600,L93152136496,5,202503261830,202503261830,202504202300,B,0,<경찰청제공>[통제] 동남로 대명초교입구교차로 에서 생태공원삼거리 방향 양방향 전체차로 공사 [도로침하/전면통제] 동남로 생태공원삼거리↔대명초교사거리 도로침하로 양방향 전면통제  서울청,1,00,0,1240012300,127.15575,37.546111,동남로,동남로,2,137,"1240011402,1240012400"
202504130825,20250413082600,2025041000941,2,202504130453,202504130753,202504130842,E,2,"서울YMCA마라톤대회/효자로 ,청와대로,삼청로 진행방향 적선R→효자동삼거리→동십자R 전면통제 04/13 07시53분~08시42분",1,A0,0,1000015201,126.974278,37.575917,"효자로 ,청와대로,삼청로",적선R→효자동삼거리→동십자R,7,5,"1000015202,1000015203,1000014301,1000016500,1000017300,1000014302,1000014303"
202504130825,20250413082600,L93152225181,149,202504061200,202504061200,202504132200,C,0,<경찰청제공>[행사] 여의동로 서강대교남측 에서 국회3문 방향 양방향 전체차로 복합행사 [행사/전면통제] 2025 여의도 봄꽃축제 / 일시:4.6(일)12:00~4.13(일)22:00 / 통제장소: 여의서로 서강대교남단↔국회3문 / 양방향 전면통제  서울청,1,00,0,1180038702,126.9215,37.532083,여의동로,여의동로,6,322,"1180038004,1180038003,1180038101,1180038102,1180038602,1180036401"
202504130825,20250413082600,2008103090128,187,202504130700,202504131000,202504132300,E,2,명동길 주말차없는거리 및 명동 중앙로 : 매일 10시~23시 전면통제,1,A0,0,1010008601,126.982639,37.563583,명동길,명동길 주말차없는거리,1,321,1010008602
202504130825,20250413082600,L93106245889,44,202107220000,202107220000,202511142359,B,0,<경찰청제공>[공사] 올림픽대로 올림픽대교 에서 천호대교 방향 4차로 도로공사 천호대로 남단IC 연결체계 개선공사 올림픽대로 천호대로 남단IC 부분통제 서울청,1,00,0,1230005404,127.118333,37.540972,올림픽대로,올림픽대로,0,306,
202504130825,20250413082600,L93151852127,226,202503041400,202503041400,202510312030,B,0,<경찰청제공>[공사] 버드내길 도마교 에서 유등교 방향 진행방향 전체차로 도로공사 주의운전,1,00,0,1850155900,127.385333,36.313861,버드내길,버드내길,0,229,
202504130825,20250413082600,M250413000113,255,202504130735,202504130735,202504130747,D,3,"<국토부제공>""노면습기""주의",2,02,0,2090181600,126.967778,37.3815,수도권제1순환선,수도권제1순환선,0,98,
202504130825,20250413082600,2025040901080,4,202504130430,202504130730,202504131400,E,2,제13회김포한강마라톤/김포대로 양방향 사우지하차도 옆길 전면통제 04/13 07시30분~14시,1,A0,0,2320006501,126.719583,37.620167,김포대로,사우지하차도 옆길,7,108,"2320006502,2320006503,2320007400,2320006601,2320006603,2320007300,2320006602"
202504130825,20250413082600,M250412000474,240,202504130640,202504130640,202504130838,D,99,"<국토부제공>""강풍""주의",2,02,0,2900000500,127.102583,36.081861,논산천안선,논산천안선,0,220,
202504130825,20250413082600,M250413000112,255,202504130735,202504130735,202504130747,D,3,"<국토부제공>""노면습기""주의",2,02,0,2240029501,126.805194,37.449278,수도권제1순환선,수도권제1순환선,0,100,
202504130825,20250413082600,L93152468936,3,202504130808,202504130808,202504130838,A,0,"<경찰청제공>[사고] 일반국도26호선 신석교차로 에서 금몽마을 방향 1,2차로 교통사고 주의운전",1,00,0,3080008801,126.879028,35.932806,일반국도26호선,일반국도26호선,0,216,
202504130825,20250413082600,M250413000107,18,202504130700,202504130700,202504130838,D,99,"<국토부제공>""강풍""주의",2,02,0,3520074101,129.315472,36.041889,대구포항선,대구포항선,0,333,
202504130825,20250413082600,2025033100506,3,202503310609,202503310909,202504132359,E,2,2025선리성 벚꽃축제/선진길 양방향 선진리 917-3↔선진수변공원 전면통제 03/31~04/13 (24시간),1,A0,0,3840291900,128.042306,35.040944,선진길,선진리 917-3↔선진수변공원,1,204,3840291800
202504130825,20250413082600,M250413000111,17,202504130705,202504130705,202504130838,D,99,"<국토부제공>""강풍""주의",2,02,0,3330054800,127.301778,34.834778,남해선(영암-순천),남해선(영암-순천),0,324,
202504130825,20250413082600,2025020600761,4,202503030600,202503030900,202504302359,B,99,봉수대로 인천시청방면 월드브라인드갤러리 검단점 인근 관매설공사로 부분통제,1,03,0,1680057202,126.656972,37.589667,봉수대로,월드브라인드갤러리 검단점,0,135,
202504130825,20250413082600,L93106217263,85,202106300000,202106300000,202804302359,B,0,"<경찰청제공>[공사] 영동대로 삼성역사거리 에서 코엑스 방향 6차로 도로공사 영동대로 지하공간 복합개발 건설공사, 장소: 코엑스사거리~삼상역 일원 부분통제 서울청",1,00,0,1220003402,127.061583,37.512056,영동대로,영동대로,0,231,
202504130825,20250413082600,L90152468763,255,202504130746,202504130746,202504130822,A,0,<경찰청제공>[사고] 평택화성고속도로 서오산JC 에서 향남IC동측 방향 1차로 차량사고 평택화성고속도로 서오산JC → 향남IC 오성방향,1,00,0,2333264000,126.997722,37.159694,평택화성고속도로,평택화성고속도로,0,206,
202504130825,20250413082600,M250413000106,19,202504130655,202504130655,202504130838,D,99,"<국토부제공>""강풍""주의",2,02,0,3810006200,128.097083,35.138389,통영대전선,통영대전선,0,327,
202504130825,20250413082600,2014031190103,12,202504122100,202504130000,202504132200,E,2,"청계천로 주말차없는거리 삼일교->청계광장 전면통제 매주 토요일 14시~일요일 22시, 공휴일 10시~22시",1,A0,0,1000003001,126.985333,37.5685,청계천로,청계2가사거리->광교사거리,4,19,"1000003400,1000003801,1000003802,1000003002"
