SEQ	TIME_STMP	Y	X	CATE	VEH_ID	CHECK_CORRECT_H
1	2025.5.11 10:29	37.469066	127.0479832	공사B	kmy	1
2	2025.5.11 10:30	37.473118	127.053591	공사B	kmy	1
3	2025.5.11 10:36	37.486128	127.075435	공사B	kmy	1
4	2025.5.11 10:48	37.511841	127.061764	공사B	kmy	1
5	2025.5.11 10:54	37.5218472	127.0622343	공사B	kmy	1
6	2025.5.11 10:58	37.519424	127.095728	공사B	kmy	1
7	2025.5.11 11:00	37.538076	127.114807	공사B	kmy	1
8	2025.5.11 11:02	37.545923	127.121394	공사B	kmy	1
9	2025.5.11 11:48	37.59186	127.069868	공사B	kmy	1
10	2025.5.11 11:50	37.5643528	127.0735579	공사B	kmy	1
11	2025.5.11 12:13	37.525343	126.954079	공사B	kmy	1
12	2025.5.11 12:19	37.5436606	126.929149	공사B	kmy	1
13	2025.5.11 12:22	37.548204	126.9062549	공사B	kmy	1
14	2025.5.11 12:26	37.56492	126.883276	공사B	kmy	1
15	2025.5.11 12:47	37.529647	126.861826	공사B	kmy	1
16	2025.5.11 12:49	37.528267	126.85069	공사B	kmy	1
17	2025.5.11 12:52	37.52859	126.855491	공사B	kmy	1
18	2025.5.11 13:33	37.504738	126.980211	공사B	kmy	1
19	2025.5.11 13:39	37.521173	127.013444	공사B	kmy	1
20	2025.5.11 13:43	37.528683	127.022192	공사B	kmy	1
21	2025.5.11 14:19	37.5687843	126.9844279	차단A	kmy	1
22	2025.5.11 14:21	37.568385	126.986879	차단A	kmy	1
23	2025.5.11 14:23	37.5679476	126.9868143	차단A	kmy	1
24	2025.5.11 14:25	37.5683965	126.9844977	차단A	kmy	1
25	2025.5.11 14:30	37.5688831	126.9801239	차단A	kmy	1
26	2025.5.11 14:32	37.5689365	126.979483	차단A	kmy	1
27	2025.5.11 14:32	37.568993	126.978403	차단A	kmy	1
28	2025.5.11 14:33	37.569398	126.977811	차단A	kmy	1
29	2025.5.11 14:34	37.56944	126.978657	차단A	kmy	1
30	2025.5.11 14:35	37.5692488	126.9802137	차단A	kmy	1
31	2025.5.13 10:47	37.468801	127.047423	공사B	syr	1
32	2025.5.13 10:54	37.486192	127.075549	공사A	syr	1
33	2025.5.13 11:02	37.501784	127.067165	공사A	syr	0
34	2025.5.13 11:03	37.505518	127.065265	공사A	syr	0
35	2025.5.13 11:04	37.505973	127.065045	공사A	syr	0
36	2025.5.13 11:06	37.507289	127.064328	공사A	syr	0
37	2025.5.13 11:12	37.51144	127.062061	공사A	syr	1
38	2025.5.13 11:16	37.514091	127.060677	공사A	syr	0
39	2025.5.13 11:17	37.514776	127.060239	공사A	syr	0
40	2025.5.13 11:20	37.521774	127.056276	공사A	syr	0
41	2025.5.13 11:23	37.52494	127.052536	공사A	syr	0
42	2025.5.13 11:24	37.524564	127.049581	공사A	syr	0
43	2025.5.13 11:40	37.521428	127.0618	공사B	syr	1
44	2025.5.13 11:41	37.517861	127.074153	공사A	syr	0
45	2025.5.13 11:42	37.517416	127.076358	공사A	syr	0
46	2025.5.13 11:43	37.519349	127.095489	공사A	syr	1
47	2025.5.13 12:07	37.5205123	126.9647	공사A	syr	1
48	2025.5.13 12:16	37.548574	126.906099	공사A	syr	1
49	2025.5.13 14:34	37.554189	126.813464	공사A	syr	0
50	2025.5.13 15:04	37.526052	126.838911	공사B	syr	1
51	2025.5.13 15:06	37.527713	126.848795	공사B	syr	1
52	2025.5.13 15:08	37.528638	126.855951	공사B	syr	1
53	2025.5.13 15:09	37.529019	126.85913	공사B	syr	1
54	2025.5.13 15:38	37.519966	127.012425	공사B	syr	1
55	2025.5.20 11:52	37.468721	127.04736	공사B	khj	1
56	2025.5.20 11:53	37.469691	127.048712	공사B	khj	1
57	2025.5.20 11:58	37.48635	127.075454	공사B	khj	1
58	2025.5.20 12:08	37.511745	127.061901	공사A	khj	1
59	2025.5.20 12:23	37.5289795	127.0217958	공사C	khj	0
60	2025.5.20 12:38	37.522314	127.061214	공사A	khj	1
61	2025.5.20 12:38	37.518142	127.068469	공사B	khj	1
62	2025.5.20 12:41	37.518142	127.068469	공사C	khj	0
63	2025.5.20 12:41	37.5211358	127.0986214	공사C	khj	0
64	2025.5.20 12:48	37.5410913	127.1184486	공사C	khj	0
65	2025.5.20 13:14	37.5171816	126.973921	공사C	khj	0
66	2025.5.20 14:39	37.525384	126.954289	공사B	khj	1
67	2025.5.20 14:42	37.541924	126.936563	공사A	khj	1
68	2025.5.20 14:45	37.547913	126.907257	공사A	khj	0
69	2025.5.20 14:45	37.5474576	126.9075112	공사A	khj	0
70	2025.5.20 14:46	37.552463	126.900538	공사B	khj	1
71	2025.5.20 14:47	37.558244	126.89373	공사B	khj	1
72	2025.5.20 14:48	37.5649427	126.8831728	공사C	khj	0
73	2025.5.20 14:51	37.5046651	126.9805331	공사C	khj	0
74	2025.5.20 15:15	37.528548	126.855157	공사A	khj	1
75	2025.5.20 15:43	37.51485	126.928138	공사C	khj	0
76	2025.5.20 15:45	37.516871	126.941593	공사C	khj	0
77	2025.5.20 15:47	37.5167425	126.948688	공사C	khj	0
78	2025.5.20 15:52	37.505924	126.989278	공사B	khj	1
79	2025.5.20 15:59	37.521099	127.013427	공사B	khj	1
80	2025.5.20 16:17	37.483271	127.025284	공사B	khj	1
81	2025.5.22 10:41	37.262937	127.103671	공사C	kmj	0
82	2025.5.22 10:44	37.213453	127.095945	공사A	kmj	0
83	2025.5.22 10:47	37.182025	127.095827	공사A	kmj	0
84	2025.5.22 11:32	36.732002	127.261164	공사A	kmj	0
85	2025.5.22 11:38	36.708763	127.348248	공사A	kmj	0
86	2025.5.22 11:54	36.492974	127.429742	공사A	kmj	0
87	2025.5.22 14:20	36.495327	127.130522	공사A	kmj	1
88	2025.5.22 14:20	36.4930842	127.124195	공사A	kmj	0
89	2025.5.22 14:25	36.48696	127.038978	공사A	kmj	0
90	2025.5.22 14:26	36.49082	127.032057	공사A	kmj	0
91	2025.5.22 14:26	36.49082	127.032057	공사A	kmj	0
92	2025.5.22 14:26	36.4916356	127.0305219	공사A	kmj	1
93	2025.5.22 14:26	36.494588	127.024897	공사A	kmj	0
94	2025.5.22 14:27	36.49565	127.023111	공사A	kmj	0
95	2025.5.22 14:28	36.51926	126.998771	공사A	kmj	1
96	2025.5.22 14:41	36.657169	126.808802	공사A	kmj	0
97	2025.5.22 14:48	36.757093	126.708081	공사A	kmj	0
98	2025.5.22 14:52	36.81298	126.65533	공사A	kmj	1
99	2025.5.22 14:54	36.838879	126.627745	공사A	kmj	0
100	2025.5.22 15:07	36.942881	126.813126	공사A	kmj	0
101	2025.5.22 16:16	37.365384	126.868095	공사B	kmj	1
102	2025.5.22 16:16	37.367354	126.870201	공사A	kmj	0
