SEQ,TIME_STMP,Y,X,CATE,VEH_ID,CHECK_CORRECT_H
1,2025.2.11 11:03,37.350066,127.103301,°ø»çB,HJK,1
12,2025.2.20 11:20,37.4661,127.042357,°ø»çB,phy,1
13,2025.2.20 11:21,37.465507,127.0428418,°ø»çB,phy,1
14,2025.2.20 11:22,37.465807,127.043156,°ø»çB,phy,1
18,2025.2.20 11:53,37.511053,127.062318,°ø»çA,phy,1
19,2025.2.20 12:05,37.518863,127.094614,°ø»çB,phy,1
22,2025.2.20 12:09,37.559333,127.126712,°ø»çB,phy,1
23,2025.2.20 12:10,37.560669,127.128299,°ø»çA,phy,1
28,2025.2.20 14:44,37.518563,126.912161,°ø»çA,phy,1
29,2025.2.20 14:51,37.518408,126.912454,°ø»çA,phy,1
30,2025.2.20 15:38,37.492937,127.011248,Çà»çB,phy,1
36,2025.2.19 11:56,37.50936,127.06319,°ø»çA,ych,1
37,2025.2.19 11:57,37.511879,127.061778,°ø»çA,ych,1
38,2025.2.19 11:57,37.513363,127.061006,°ø»çA,ych,1
45,2025.2.19 13:40,37.615528,127.069555,°ø»çA,ych,1
48,2025.2.19 14:39,37.563563,126.982127,Â÷´ÜA,ych,1
51,2025.2.19 15:09,37.519785,126.914292,°ø»çA,ych,1
52,2025.2.19 15:09,37.518509,126.912238,°ø»çA,ych,1
53,2025.2.19 15:10,37.517939,126.910842,°ø»çA,ych,1
54,2025.2.19 15:14,37.518634,126.913238,°ø»çA,ych,1
70,2025.2.23 13:57,37.508514,127.062556,°ø»çA,psm,1
71,2025.2.23 13:57,37.5088,127.0632,°ø»çA,psm,1
72,2025.2.23 14:00,37.51212,127.061712,°ø»çA,psm,1
73,2025.2.23 14:00,37.513004,127.061247,°ø»çA,psm,1
74,2025.2.23 14:00,37.513629,127.060893,°ø»çA,psm,1
75,2025.2.23 15:11,37.5193617,127.0955629,°ø»çA,psm,1
76,2025.2.23 15:17,37.5561136,127.1251983,°ø»çA,psm,1
77,2025.2.23 15:22,37.559954,127.127589,°ø»çA,psm,1
83,2025.2.23 16:36,37.5187,126.914092,°ø»çA,psm,1
84,2025.2.23 16:41,37.5199228,126.9147291,°ø»çB,psm,1
85,2025.2.23 16:42,37.519826,126.914281,°ø»çA,psm,1
86,2025.2.23 16:43,37.519267,126.913222,°ø»çA,psm,1
87,2025.2.23 16:43,37.518665,126.912402,°ø»çA,psm,1
88,2025.2.23 16:43,37.518168,126.911612,°ø»çA,psm,1
92,2025.2.24 11:16,37.509371,127.063181,°ø»çA,KMJ,1
94,2025.2.24 11:25,37.541141,127.118525,°ø»çB,KMJ,1
95,2025.2.24 11:27,37.56017,127.12792,°ø»çA,KMJ,1
97,2025.2.24 11:46,37.566626,127.145796,°ø»çA,KMJ,1
98,2025.2.24 11:47,37.560652,127.127946,°ø»çA,KMJ,1
99,2025.2.24 11:50,37.540522,127.117314,°ø»çB,KMJ,1
101,2025.2.24 11:52,37.519517,127.09505,°ø»çA,KMJ,1
103,2025.2.24 12:11,37.515233,127.006468,»ç°íA,KMJ,1
104,2025.2.24 12:18,37.519891,126.915096,°ø»çA,KMJ,1
105,2025.2.24 12:23,37.518805,126.912438,°ø»çA,KMJ,1
106,2025.2.24 12:24,37.517941,126.910647,°ø»çA,KMJ,1
108,2025.2.24 14:19,37.567164,126.879543,°ø»çA,KMJ,1
