BASE_DTTM|REG_DTTM|SUDN_ST_ID|SUDN_LAST_VER|SUDN_SERV_ST_DTTM|SUDN_ST_DTTM|SUDN_ED_DTTM|SUDN_ST_CD|SUDN_ST_TYPE_CD|SUDN_ST_CONT|SUDN_ST_ROAD_KIND|SUDN_LANE_NO|VEHICLE_KIND|OCCUR_LINK_ID|OCCUR_X_POS|OCCUR_Y_POS|SUDN_ST_ROAD|SUDN_ST_SECTION|SUB_LINK_CNT|MID|KS_SUB_LINK_ID
202506251115|20250625111600|L93154975970|255|202506251006|202506251006|202506251036|A|00|<경찰청제공>[사고] 지방도709호선 개정파출소 에서 송호교차로 방향 1차로 교통사고 주의운전|1|00|000000|3070238000|126.774444|35.974944|지방도709호선|지방도709호선|0|623|null
202506251115|20250625111600|M250625000408|6|202506250947|202506250947|202506251123|B|99|<국토부제공>(2차로)터널시설물점검이동작업중|2|02|000000|3180039033|126.703583|35.378972|고창담양선|고창담양선|0|660|null
202506251115|20250625111600|L93154970345|9|202506250752|202506250752|202506251800|B|00|<경찰청제공>[공사] 마한로 파인필드스크린골프 에서 어양라온프라이빗1단 방향 1차로 도로공사 주의운전|1|00|000000|3080638101|126.987472|35.966556|마한로|마한로|0|569|null
202506251115|20250625111600|M250625000407|7|202506251041|202506251041|202506251124|A|05|<국토부제공>(진출로1차로)승용차고장처리중|2|02|000000|2080062500|126.901167|37.423667|제2경인선|제2경인선|0|334|null
202506251115|20250625111600|L93154975616|255|202506250957|202506250957|202506251027|B|00|<경찰청제공>[공사] 녹양로62번길 현대홈타운앞 에서 녹양동원12차아파트앞 방향 1차로 하수도/배수로 작업 주의운전|1|00|000000|2070130000|127.033361|37.756583|녹양로62번길|녹양로62번길|0|124|null
202506251115|20250625111600|M250625000167|42|202506250746|202506250746|202506251123|B|99|<국토부제공>(갓길)비탈면보완작업중|2|02|000000|3920209800|128.256583|35.054056|통영대전선|통영대전선|0|225|null
202506251115|20250625111600|M250625000241|33|202506250828|202506250828|202506251124|B|99|<국토부제공>(갓길)풀베기작업|2|02|000000|1450066300|129.226167|35.281583|부산울산선|부산울산선|0|471|null
202506251115|20250625111600|L93153661544|91|202505230800|202505230800|202506301638|B|00|<경찰청제공>[공사] 분당내곡간도시고속화도로 구룡터널앞교차로 에서 개포지하차도남측 방향 3차로 방책 유지보수 [공사] 2025년 자동차전용도로 옹벽 및 비탈면 정비공사 /장소: 강남구 개포동 산53-26(언주로 내곡방향) /부분통제  서울청|1|00|000000|1220042200|127.059139|37.475306|분당내곡간도시고속화도로|분당내곡간도시고속화도로|0|398|null
202506251115|20250625111600|2025041200080|4|202504120710|202504120710|202612312359|E|02|광명 양달로 양방향 민트스푼↔한우리교회 붕괴위험으로 전면통제|1|A0|000000|2130388300|126.880139|37.412917|양달로|민트스푼↔한우리교회|1|183|2130388400
202506251115|20250625111600|2022011000502|188|202506250800|202506251100|202506251900|E|02|의왕 부곡도깨비시장(부곡시장길12~32) 차없는거리 전면통제 01/10~25/12/31 11시~19시(매일)|1|A0|000000|2260058000|126.950861|37.319528|부곡시장길|부곡도깨비시장(부곡시장길12~32)|1|143|2260057900
202506251115|20250625111600|M250625000188|38|202506250802|202506250802|202506251123|B|99|<국토부제공>(갓길)가드레일보수작업중|2|02|000000|3910020701|128.506778|35.501583|중부내륙선|중부내륙선|0|262|null
202506251115|20250625111600|M250625000415|255|202506251050|202506251050|202506251058|A|99|<국토부제공>(1차로)사고처리중|2|02|000000|2050003900|127.123361|37.425750|수도권제1순환선|수도권제1순환선|0|97|null
